"","pmid","title","source","abstract"
"695",37833589,"Chemogenetic activation of CRF neurons as a model of chronic stress produces sex-specific physiological and behavioral effects.","Neuropsychopharmacology","Trauma and chronic stress exposure are the strongest predictors of lifetime neuropsychiatric disease presentation. These disorders often have significant sex biases, with females having higher incidences of affective disorders such as major depression, anxiety, and PTSD. Understanding the mechanisms by which stress exposure heightens disease vulnerability is essential for developing novel interventions. Current rodent stress models consist of a battery of sensory, homeostatic, and psychological stressors that are ultimately integrated by corticotropin-releasing factor (CRF) neurons to trigger corticosteroid release. These stress paradigms, however, often differ between research groups in the type, timing, and duration of stressors utilized. These inconsistencies, along with the variability of individual animals' perception and response to each stressor, present challenges for reproducibility and translational relevance. Here, we hypothesized that a more direct approach using chemogenetic activation of CRF neurons would recapitulate the effects of traditional stress paradigms and provide a high-throughput method for examining stress-relevant phenotypes. Using a transgenic approach to express the Gq-coupled Designer Receptor Exclusively Activated by Designer Drugs (DREADD) receptor hM3Dq in CRF-neurons, we found that the DREADD ligand clozapine-N-oxide (CNO) produced an acute and robust activation of the hypothalamic-pituitary-adrenal (HPA) axis, as predicted. Interestingly, chronic treatment with this method of direct CRF activation uncovered a novel sex-specific dissociation of glucocorticoid levels with stress-related outcomes. Despite hM3Dq-expressing females producing greater corticosterone levels in response to CNO than males, hM3Dq-expressing males showed significant typical physiological stress sensitivity with reductions in body and thymus weights. hM3Dq-expressing females while resistant to the physiological effects of chronic CRF activation, showed significant increases in baseline and fear-conditioned freezing behaviors. These data establish a novel mouse model for interrogating stress-relevant phenotypes and highlight sex-specific stress circuitry distinct for physiological and limbic control that may underlie disease risk.© 2023. The Author(s)."
"696",37766803,"Trauma Matters: Integrating Genetic and Environmental Components of PTSD.","Adv Genet (Hoboken)","Trauma is ubiquitous, but only a subset of those who experience trauma will develop posttraumatic stress disorder (PTSD). In this review, it is argued that to determine who is at risk of developing PTSD, it is critical to examine the genetic etiology of the disorder and individual trauma profiles of those who are susceptible. First, the state of current PTSD genetic research is described, with a particular focus on studies that present evidence for trauma type specificity, or for differential genetic etiology according to gender or race. Next, approaches that leverage non-traditional phenotyping approaches are reviewed to identify PTSD-associated variants and biology, and the relative advantages and limitations inherent in these studies are reflected on. Finally, it is discussed how trauma might influence the heritability of PTSD, through type, risk factors, genetics, and associations with PTSD symptomology.© 2022 The Authors. Advanced Genetics published by Wiley Periodicals LLC."
"697",37693435,"Comorbidity Profiles of Posttraumatic Stress Disorder Across the Medical Phenome.","medRxiv","Prior epidemiological research has linked PTSD with specific physical health problems, but the comprehensive landscape of medical conditions associated with PTSD remains uncharacterized. Electronic health records (EHR) provide an opportunity to overcome prior clinical knowledge gaps and uncover associations with biological relevance that potentially vary by sex.PTSD was defined among biobank participants (total N=123,365) in a major healthcare system using two ICD code-based definitions: broad (1+ PTSD or acute stress codes versus 0; NCase=14,899) and narrow (2+ PTSD codes versus 0; NCase=3,026). Using a phenome-wide association (PheWAS) design, we tested associations between each PTSD definition and all prevalent disease umbrella categories, i.e., phecodes. We also conducted sex-stratified PheWAS analyses including a sex-by-diagnosis interaction term in each logistic regression.A substantial number of phecodes were significantly associated with PTSDNarrow(61%) and PTSDBroad(83%). While top associations were shared between the two definitions, PTSDBroadcaptured 334 additional phecodes not significantly associated with PTSDNarrowand exhibited a wider range of significantly associated phecodes across various categories, including respiratory, genitourinary, and circulatory conditions. Sex differences were observed, in that PTSDBroadwas more strongly associated with osteoporosis, respiratory failure, hemorrhage, and pulmonary heart disease among male patients, and with urinary tract infection, acute pharyngitis, respiratory infections, and overweight among female patients.This study provides valuable insights into a diverse range of comorbidities associated with PTSD, including both known and novel associations, while highlighting the influence of sex differences and the impact of defining PTSD using EHR."
"698",37744399,"Mechanistic insights into the role of herpes simplex virus 1 in Alzheimer's disease.","Front Aging Neurosci","Alzheimer's Disease (AD) is an aging-associated neurodegenerative disorder, threatening millions of people worldwide. The onset and progression of AD can be accelerated by environmental risk factors, such as bacterial and viral infections. Human herpesviruses are ubiquitous infectious agents that underpin numerous inflammatory disorders including neurodegenerative diseases. Published studies concerning human herpesviruses in AD imply an active role HSV-1 in the pathogenesis of AD. This review will summarize the current understanding of HSV-1 infection in AD and highlight some barriers to advance this emerging field.Copyright © 2023 Feng, Liu, Zhou, Shu, Cheng, Brenner and Feng."
"699",37847655,"scHiCDiff: detecting differential chromatin interactions in single-cell Hi-C data.","Bioinformatics","Here, we presented the scHiCDiff software tool that provides both nonparametric tests and parametirc models to detect differential chromatin interactions (DCIs) from single-cell Hi-C data. We thoroughly evaluated the scHiCDiff methods on both simulated and real data. Our results demonstrated that scHiCDiff, especially the zero-inflated negative binomial model option, can effectively detect reliable and consistent single-cell DCIs between two conditions, thereby facilitating the study of cell type-specific variations of chromatin structures at the single-cell level.scHiCDiff is implemented in R and freely available at GitHub (https://github.com/wmalab/scHiCDiff).© The Author(s) 2023. Published by Oxford University Press."
"700",37731322,"To target or not to target? The role of DNA and histone methylation in bacterial infections.","Epigenetics","Epigenetics describes chemical modifications of the genome that do not alter DNA sequence but participate in the regulation of gene expression and cellular processes such as proliferation, division, and differentiation of eukaryotic cell. Disruption of the epigenome pattern in a human cell is associated with different diseases, including infectious diseases. During infection pathogens induce epigenetic modifications in the host cell. This can occur by controlling expression of genes involved in immune response. That enables bacterial survival and replication within the host and evasion of the immune response. Methylation is an example of epigenetic modification that occurs on DNA and histones. Reasoning that DNA and histone methylation of human host cells plays a crucial role during pathogenesis, these modifications are promising targets for the development of alternative treatment strategies in infectious diseases. Here, we discuss the role of DNA and histone methyltransferases in human host cell upon bacterial infections. We further hypothesize that compounds targeting methyltransferases are tools to study epigenetics in the context of host-pathogen interactions and can open new avenues for the treatment of bacterial infections."
"701",37889118,"Filter and Wrapper Stacking Ensemble (FWSE): a robust approach for reliable biomarker discovery in high-dimensional omics data.","Brief Bioinform","Selecting informative features, such as accurate biomarkers for disease diagnosis, prognosis and response to treatment, is an essential task in the field of bioinformatics. Medical data often contain thousands of features and identifying potential biomarkers is challenging due to small number of samples in the data, method dependence and non-reproducibility. This paper proposes a novel ensemble feature selection method, named Filter and Wrapper Stacking Ensemble (FWSE), to identify reproducible biomarkers from high-dimensional omics data. In FWSE, filter feature selection methods are run on numerous subsets of the data to eliminate irrelevant features, and then wrapper feature selection methods are applied to rank the top features. The method was validated on four high-dimensional medical datasets related to mental illnesses and cancer. The results indicate that the features selected by FWSE are stable and statistically more significant than the ones obtained by existing methods while also demonstrating biological relevance. Furthermore, FWSE is a generic method, applicable to various high-dimensional datasets in the fields of machine intelligence and bioinformatics.© The Author(s) 2023. Published by Oxford University Press."
"702",37792224,"Construction of Immune Infiltration-Related LncRNA Signatures Based on Machine Learning for the Prognosis in Colon Cancer.","Biochem Genet","Colon cancer is one of the malignant tumors with high morbidity, lethality, and prevalence across global human health. Molecular biomarkers play key roles in its prognosis. In particular, immune-related lncRNAs (IRL) have attracted enormous interest in diagnosis and treatment, but less is known about their potential functions. We aimed to investigate dysfunctional IRL and construct a risk model for improving the outcomes of patients. Nineteen immune cell types were collected for identifying house-keeping lncRNAs (HKLncRNA). GSE39582 and TCGA-COAD were treated as the discovery and validation datasets, respectively. Four machine learning algorithms (LASSO, Random Forest, Boruta, and Xgboost) and a Gaussian mixture model were utilized to mine the optimal combination of lncRNAs. Univariate and multivariate Cox regression was utilized to construct the risk score model. We distinguished the functional difference in an immune perspective between low- and high-risk cohorts calculated by this scoring system. Finally, we provided a nomogram. By leveraging the microarray, sequencing, and clinical data for immune cells and colon cancer patients, we identified the 221 HKLncRNAs with a low cell type-specificity index. Eighty-seven lncRNAs were up-regulated in the immune compared to cancer cells. Twelve lncRNAs were beneficial in improving performance. A risk score model with three lncRNAs (CYB561D2, LINC00638, and DANCR) was proposed with robust ROC performance on an independent dataset. According to immune-related analysis, the risk score is strongly associated with the tumor immune microenvironment. Our results emphasized IRL has the potential to be a powerful and effective therapy for enhancing the prognostic of colon cancer.© 2023. The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature."
"703",37795186,"Traumatic brain injury-associated epigenetic changes and the risk for neurodegenerative diseases.","Front Neurosci","Epidemiological studies have shown that traumatic brain injury (TBI) increases the risk for developing neurodegenerative diseases (NDs). However, molecular mechanisms that underlie this risk are largely unidentified. TBI triggers widespread epigenetic modifications. Similarly, NDs such as Alzheimer's or Parkinson's are associated with numerous epigenetic changes. Although epigenetic changes can persist after TBI, it is unresolved if these modifications increase the risk of later ND development and/or dementia. We briefly review TBI-related epigenetic changes, and point out putative feedback loops that might contribute to long-term persistence of some modifications. We then focus on evidence suggesting persistent TBI-associated epigenetic changes may contribute to pathological processes (e.g., neuroinflammation) which may facilitate the development of specific NDs - Alzheimer's disease, Parkinson's disease, or chronic traumatic encephalopathy. Finally, we discuss possible directions for TBI therapies that may help prevent or delay development of NDs.Copyright © 2023 Smolen, Dash and Redell."
"704",37889793,NA,NA,"Dairy cows require a balanced diet that provides enough nutrients to support milk production, growth, and reproduction. Inadequate nutrition can lead to metabolic disorders, impaired fertility, and reduced milk yield. Recent studies have shown that nutrition can affect epigenetic modifications in dairy cows, which can impact gene expression and affect the cows' health and productivity. One of the most important epigenetic modifications in dairy cows is DNA methylation, which involves the addition of a methyl group to the DNA molecule. Studies have shown that the methylation status of certain genes in dairy cows can be influenced by dietary factors such as the level of methionine, lysine, choline, and folate in the diet. Other important epigenetic modifications in dairy cows are histone modification and microRNAs as regulators of gene expression. Overall, these findings suggest that nutrition can have a significant impact on the epigenetic regulation of gene expression in dairy cows. By optimizing the diet of dairy cows, it may be possible to improve their health and productivity by promoting beneficial epigenetic modifications. This paper reviews the main nutrients that can cause epigenetic changes in dairy cattle by analyzing the effect of diet on milk production and its composition."
"705",37723113,"Refinement and validation of a comprehensive clinical diagnostic model (GAMAD) based on gender, age, multitarget circulating tumour DNA methylation signature and commonly used serological biomarkers for early detection of hepatocellular carcinoma: a multicentre, prospective observational study protocol.","BMJ Open","Prompt detection of hepatocellular carcinoma (HCC) in patients with chronic liver diseases is critical for enhancing prognosis. Existing imaging techniques and serum markers fall short of clinical needs. This study aims to establish a non-invasive diagnostic model for early HCC detection in the Chinese population.This prospective, multicentre, observational study will enrol 2000 participants, including HCC patients, those with chronic liver diseases (hepatitis, cirrhosis and benign liver space-occupying lesions), and healthy individuals. The study will collect demographic data and blood samples, which will be used to test α-fetoprotein (AFP), des-γ-carboxy-prothrombin (DCP) and circulating tumour DNA (ctDNA) methylation. The GAMAD (Gender+Age+Methylation+AFP+DCP) model involving gender, age, ctDNA methylation signature, AFP and DCP will be developed and blindly validated in training and validation sets (1400 and 600 cases, respectively). Primary endpoints include sensitivity, specificity and accuracy (receiver operating characteristic curves; area under the curve value) of GAMAD for HCC and/or high-risk HCC groups. Secondary endpoints involve comparing GAMAD with the established GALAD (Gender+Age+AFP-L3+AFP+DCP) model and each blood index (AFP, DCP and methylation signature) to evaluate: (1) GAMAD's clinical utility for HCC patients in all stages according to different staging systems; (2) GAMAD's discrimination ability for patients in various subgroups, including liver cirrhosis (LC) related HCC and LC, hepatitis B virus (HBV) related HCC and HBV, hepatitis C virus (HCV) related HCC and HCV, and non-alcoholic fatty liver disease (NAFLD) related HCC and NAFLD.This trial has been approved by the Medical Ethics Committees of the First Hospital of Jilin University (#22K073-001), the Eastern Hepatobiliary Surgery Hospital, Naval Medical University (#EHBHKY2023-H0003-P001) and Tianjin Third Central Hospital (#IRB2023-007-01). All participants in the trial will provide written informed consent. Results of this study will be disseminated in peer-reviewed scientific journals and at conferences nationally and internationally.NCT05626985.© Author(s) (or their employer(s)) 2023. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ."
"706",37720239,"ctDNA as a novel and promising approach for cancer diagnosis: a focus on hepatocellular carcinoma.","EXCLI J","Hepatocellular carcinoma (HCC) is one of the most prevalent forms of cancer worldwide. Therefore, it is essential to diagnose and treat HCC patients promptly. As a novel discovery, circulating tumor DNA (ctDNA) can be used to analyze the tumor type and the cancer location. Additionally, ctDNA assists the cancer stage determination, which enables medical professionals to provide patients with the most appropriate treatment. This review will discuss the HCC-related mutated genes diagnosed by ctDNA. In addition, we will introduce the different and the most appropriate ctDNA diagnosis approaches based on the facilities.Copyright © 2023 Biglari et al."
"707",37688361,"A pilot genome-wide association study meta-analysis of gastroparesis.","United European Gastroenterol J","Gastroparesis (GP) is characterized by delayed gastric emptying in the absence of mechanical obstruction.Genetic predisposition may play a role; however, investigation at the genome-wide level has not been performed.We carried out a genome-wide association study (GWAS) meta-analysis on (i) 478 GP patients from the National Institute of Diabetes and Digestive and Kidney Diseases Gastroparesis Clinical Research Consortium (GpCRC) compared to 9931 population-based controls from the University of Michigan Health and Retirement Study; and (ii) 402 GP cases compared to 48,340 non-gastroparesis controls from the Michigan Genomics Initiative. Associations for 5,811,784 high-quality SNPs were tested on a total of 880 GP patients and 58,271 controls, using logistic mixed models adjusted for age, sex, and principal components. Gene mapping was obtained based on genomic position and expression quantitative trait loci, and a gene-set network enrichment analysis was performed. Genetic associations with clinical data were tested in GpCRC patients. Protein expression of selected candidate genes was determined in full thickness gastric biopsies from GpCRC patients and controls.While no SNP associations were detected at strict significance (p ≤ 5 × 10-8), nine independent genomic loci were associated at suggestive significance (p ≤ 1 × 10-5), with the strongest signal (rs9273363, odds ratio = 1.4, p = 1 × 10-7) mapped to the human leukocyte antigen region. Computational annotation of suggestive risk loci identified 14 protein-coding candidate genes. Gene-set network enrichment analysis revealed pathways potentially involved in immune and motor dysregulation (pFDR≤ 0.05). The GP risk allele rs6984536A (Peroxidasin-Like; PXDNL) was associated with increased abdominal pain severity scores (Beta = 0.13, p = 0.03). Gastric muscularis expression of PXDNL also positively correlated with abdominal pain in GP patients (r = 0.8, p = 0.02). Dickkopf WNT Signaling Pathway Inhibitor 1 showed decreased expression in diabetic GP patients (p = 0.005 vs. controls).We report preliminary GWAS findings for GP, which highlight candidate genes and pathways related to immune and sensory-motor dysregulation. Larger studies are needed to validate and expand these findings in independent datasets.© 2023 The Authors. United European Gastroenterology Journal published by Wiley Periodicals LLC on behalf of United European Gastroenterology."
"708",37893006,"Beyond the Rhythm: In Silico Identification of Key Genes and Therapeutic Targets in Atrial Fibrillation.","Biomedicines","Atrial fibrillation (AF) is a prevalent cardiac arrhythmia worldwide and is characterized by a high risk of thromboembolism, ischemic stroke, and fatality. The precise molecular mechanisms of AF pathogenesis remain unclear. The purpose of this study was to use bioinformatics tools to identify novel key genes in AF, provide deeper insights into the molecular pathogenesis of AF, and uncover potential therapeutic targets. Four publicly available raw RNA-Seq datasets obtained through the ENA Browser, as well as proteomic analysis results, both derived from atrial tissues, were used in this analysis. Differential gene expression analysis was performed and cross-validated with proteomics results to identify common genes/proteins between them. A functional enrichment pathway analysis was performed. Cross-validation analysis revealed five differentially expressed genes, namelyFGL2,IGFBP5,NNMT,PLA2G2A, andTNC, in patients with AF compared with those with sinus rhythm (SR). These genes play crucial roles in various cardiovascular functions and may be part of the molecular signature of AF. Furthermore, functional enrichment analysis revealed several pathways related to the extracellular matrix, inflammation, and structural remodeling. This study highlighted five key genes that constitute promising candidates for further experimental exploration as biomarkers as well as therapeutic targets for AF."
"709",37762023,NA,NA,"Epigenetics is a rapidly developing science that has gained a lot of interest in recent years due to the correlation between characteristic epigenetic marks and cardiovascular diseases (CVDs). Epigenetic modifications contribute to a change in gene expression while maintaining the DNA sequence. The analysis of these modifications provides a thorough insight into the cardiovascular system from its development to its further functioning. Epigenetics is strongly influenced by environmental factors, including known cardiovascular risk factors such as smoking, obesity, and low physical activity. Similarly, conditions affecting the local microenvironment of cells, such as chronic inflammation, worsen the prognosis in cardiovascular diseases and additionally induce further epigenetic modifications leading to the consolidation of unfavorable cardiovascular changes. A deeper understanding of epigenetics may provide an answer to the continuing strong clinical impact of cardiovascular diseases by improving diagnostic capabilities, personalized medical approaches and the development of targeted therapeutic interventions. The aim of the study was to present selected epigenetic pathways, their significance in cardiovascular diseases, and their potential as a therapeutic target in specific medical conditions."
"710",37887270,"The Role of Oxytocin in Alzheimer's Disease and Its Relationship with Social Interaction.","Cells","Alzheimer's disease (AD)-the most common cause of dementia in the elderly-is characterized by progressive memory loss and β-amyloid protein (Aβ) accumulation in the brain. Recently, loneliness was found to be a high risk factor for AD, and social isolation has become a major cause of AD. AD. Oxytocin (OXT), the main hormone involved in social bonding, has been implicated in social interactions, notably in building trust and relationships. Moreover, social isolation or social enrichment modulates the activation of neurons related to OXT. Recently, we reported that OXT reverses learning and memory impairment in AD animal models. Based on the limited number of studies currently available, OXT might be a therapeutic target for AD. Further studies are necessary in order to better understand the role of oxytocin in AD. In this review, we described the relationships between OXT, AD, and social interaction."
"711",37700216,"Alzheimer's Disease-Related Epigenetic Changes: Novel Therapeutic Targets.","Mol Neurobiol","Aging is a significant risk factor for Alzheimer's disease (AD), although the precise mechanism and molecular basis of AD are not yet fully understood. Epigenetic mechanisms, such as DNA methylation and hydroxymethylation, mitochondrial DNA methylation, histone modifications, and non-coding RNAs (ncRNAs), play a role in regulating gene expression related to neuron plasticity and integrity, which are closely associated with learning and memory development. This review describes the impact of dynamic and reversible epigenetic modifications and factors on memory and plasticity throughout life, emphasizing their potential as target for therapeutic intervention in AD. Additionally, we present insight from postmortem and animal studies on abnormal epigenetics regulation in AD, as well as current strategies aiming at targeting these factors in the context of AD therapy.© 2023. The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature."
"712",37745046,"The ethical aspects of exposome research: a systematic review.","Exposome","In recent years, exposome research has been put forward as the next frontier for the study of human health and disease. Exposome research entails the analysis of the totality of environmental exposures and their corresponding biological responses within the human body. Increasingly, this is operationalized by big-data approaches to map the effects of internal as well as external exposures using smart sensors and multiomics technologies. However, the ethical implications of exposome research are still only rarely discussed in the literature. Therefore, we conducted a systematic review of the academic literature regarding both the exposome and underlying research fields and approaches, to map the ethical aspects that are relevant to exposome research. We identify five ethical themes that are prominent in ethics discussions: the goals of exposome research, its standards, its tools, how it relates to study participants, and the consequences of its products. Furthermore, we provide a number of general principles for how future ethics research can best make use of our comprehensive overview of the ethical aspects of exposome research. Lastly, we highlight three aspects of exposome research that are most in need of ethical reflection: the actionability of its findings, the epidemiological or clinical norms applicable to exposome research, and the meaning and action-implications of bias."
"713",37904053,NA,NA,"Genetic mutations accumulate in an organism's body throughout its lifetime. While somatic single-nucleotide variants have been well characterized in the human body, the patterns and consequences of large chromosomal alterations in normal tissues remain largely unknown. Here, we present a pan-tissue survey of mosaic chromosomal alterations (mCAs) in 948 healthy individuals from the Genotype-Tissue Expression project, augmenting RNA-based allelic imbalance estimation with haplotype phasing. We found that approximately a quarter of the individuals carry a clonally-expanded mCA in at least one tissue, with incidence strongly correlated with age. The prevalence and genome-wide patterns of mCAs vary considerably across tissue types, suggesting tissue-specific mutagenic exposure and selection pressures. The mCA landscapes in normal adrenal and pituitary glands resemble those in tumors arising from these tissues, whereas the same is not true for the esophagus and skin. Together, our findings show a widespread age-dependent emergence of mCAs across normal human tissues with intricate connections to tumorigenesis.© 2023. The Author(s), under exclusive licence to Springer Nature America, Inc."
"714",37884787,"Clonal haematopoiesis, ageing and kidney disease.","Nat Rev Nephrol","Clonal haematopoiesis of indeterminate potential (CHIP) is a preclinical condition wherein a sizeable proportion of an individual's circulating blood cells are derived from a single mutated haematopoietic stem cell. CHIP occurs frequently with ageing - more than 10% of individuals over 65 years of age are affected - and is associated with an increased risk of disease across several organ systems and premature death. Emerging evidence suggests that CHIP has a role in kidney health, including associations with predisposition to acute kidney injury, impaired recovery from acute kidney injury and kidney function decline, both in the general population and among those with chronic kidney disease. Beyond its direct effect on the kidney, CHIP elevates the susceptibility of individuals to various conditions that can detrimentally affect the kidneys, including cardiovascular disease, obesity and insulin resistance, liver disease, gout, osteoporosis and certain autoimmune diseases. Aberrant pro-inflammatory signalling, telomere attrition and epigenetic ageing are potential causal pathophysiological pathways and mediators that underlie CHIP-related disease risk. Experimental animal models have shown that inhibition of inflammatory cytokine signalling can ameliorate many of the pathological effects of CHIP, and assessment of the efficacy and safety of this class of medications for human CHIP-associated pathology is ongoing.© 2023. Springer Nature Limited."
"715",37800145,"Analysis of genetic variability in Turner syndrome linked to long-term clinical features.","Front Endocrinol (Lausanne)","Women with Turner syndrome (TS) (45,X and related karyotypes) have an increased prevalence of conditions such as diabetes mellitus, obesity, hypothyroidism, autoimmunity, hypertension, and congenital cardiovascular anomalies (CCA). Whilst the risk of developing these co-morbidities may be partly related to haploinsufficiency of key genes on the X chromosome, other mechanisms may be involved. Improving our understanding of underlying processes is important to develop personalized approaches to management.We investigated whether: 1) global genetic variability differs in women with TS, which might contribute to co-morbidities; 2) common variants in X genes - on the background of haploinsufficiency - are associated with phenotype (a ""two-hit"" hypothesis); 3) the previously reported association of autosomalTIMP3variants with CCA can be replicated.Whole exome sequencing was undertaken in leukocyte DNA from 134 adult women with TS and compared to 46,XX controls (n=23), 46,XX women with primary ovarian insufficiency (n=101), and 46,XY controls (n=11). 1) Variability in autosomal and X chromosome genes was analyzed for all individuals; 2) the relation between common X chromosome variants and the long-term phenotypes listed above was investigated in a subgroup of women with monosomy X; 3)TIMP3variance was investigated in relation to CCA.Standard filtering identified 6,457,085 autosomal variants and 126,335 X chromosome variants for the entire cohort, whereas a somatic variant pipeline identified 16,223 autosomal and 477 X chromosome changes. 1) Overall exome variability of autosomal genes was similar in women with TS and control/comparison groups, whereas X chromosome variants were proportionate to the complement of X chromosome material; 2) when adjusted for multiple comparisons, no X chromosome gene/variants were strongly enriched in monosomy X women with key phenotypes compared to monosomy X women without these conditions, although several variants of interest emerged; 3) an association betweenTIMP322:32857305:C-T and CCA was found (CCA 13.6%; non-CCA 3.4%, p<0.02).Women with TS do not have an excess of genetic variability in exome analysis. No obvious X-chromosome variants driving phenotype were found, but several possible genes/variants of interest emerged. A reported association between autosomalTIMP3variance and congenital cardiac anomalies was replicated.Copyright © 2023 Suntharalingham, Ishida, Cameron-Pimblett, McGlacken-Byrne, Buonocore, del Valle, Madhan, Brooks, Conway and Achermann."
"716",37720253,"Clonal Hematopoiesis Defined by Somatic Mutations Infrequently Co-occurs With Mosaic Loss of the Y Chromosome in a Population-based Cohort.","Hemasphere",NA
"717",37891926,"Differential Effects of Very-Low-Volume Exercise Modalities on Telomere Length, Inflammation, and Cardiometabolic Health in Obese Metabolic Syndrome Patients: A Subanalysis from Two Randomized Controlled Trials.","Antioxidants (Basel)","Oxidative stress (OS) and inflammation are features of metabolic syndrome (MetS) that can contribute to the shortening of telomere length (TL), a marker of cellular ageing. Research indicates that exercise can positively influence MetS-associated conditions and TL. However, the effects of low-volume exercise types on TL are still unknown. We investigated the impact of very-low-volume high-intensity interval training (LV-HIIT), one-set resistance training (1-RT), and whole-body electromyostimulation (WB-EMS) on TL, inflammation, and cardiometabolic indices in 167 MetS patients. Data were derived from two randomized controlled trials where patients were allocated to an exercise group (2 sessions/week, for 12 weeks) or a control group. All groups received standard-care nutritional weight loss counselling. TL was determined as the T/S ratio (telomere to single-copy gene amount). All groups significantly reduced body weight (p< 0.05), but the T/S-ratio (p< 0.001) only increased with LV-HIIT. OS-related inflammatory markers (C-reactive protein, interleukin-6, and lipopolysaccharide-binding protein) only decreased (p< 0.05) following LV-HIIT. The MetS severity z-score improved with LV-HIIT (p< 0.001) and 1-RT (p= 0.014) but not with WB-EMS. In conclusion, very-low-volume exercise modalities have differential effects on telomeres, inflammation, and cardiometabolic health. Only LV-HIIT but not strength-based low-volume exercise increased TL in MetS patients, presumably due to superior effects on OS-related inflammatory markers."
"718",37727457,"The newly proposed alanine aminotransferase to high-density lipoprotein cholesterol ratio has shown effectiveness in identifying non-alcoholic fatty liver disease.","Front Endocrinol (Lausanne)","Alanine aminotransferase (ALT) and high-density lipoprotein cholesterol (HDL-C) are important predictive factors for non-alcoholic fatty liver disease (NAFLD). The aim of this study was to analyze the association between the ALT/HDL-C ratio and NAFLD.We conducted a retrospective analysis of data from 14,251 individuals participating in the NAGALA project's health screening program. The presence of NAFLD was diagnosed based on the participants' alcohol consumption status and liver ultrasonography images. Multivariable logistic regression models were used to assess the association between the ALT/HDL-C ratio and NAFLD. Receiver operating characteristic (ROC) analysis was performed to determine and compare the effectiveness of ALT, HDL-C, the aspartate aminotransferase to HDL-C (AST/HDL-C) ratio, the gamma-glutamyl transferase to HDL-C (GGT/HDL-C) ratio and the ALT/HDL-C ratio in identifying NAFLD.We observed a significant positive association between the ALT/HDL-C ratio and the prevalence of NAFLD. For each standard deviation (SD) increase in the ALT/HDL-C ratio, the adjusted odds ratio (OR) for NAFLD among the participants was 3.05 [95% confidence interval (CI): 2.63, 3.53], with the highest quartile of ALT/HDL-C ratio having a 9.96-fold increased risk compared to the lowest quartile. In further subgroup analyses stratified by gender, age, and waist circumference (WC), we observed a significantly higher risk of NAFLD associated with the ALT/HDL-C ratio among individuals aged ≥45 years, males, and those who were abdominal obesity. Furthermore, based on the results of ROC analysis, we found that the ALT/HDL-C ratio [area under the curves (AUC): 0.8553] was significantly superior to ALT, HDL-C, AST/HDL-C ratio and GGT/HDL-C ratio in identifying NAFLD (All DelongP<0.05); the threshold of suggested ALT/HDL-C ratio for identifying NAFLD was 15.97.This population-based study demonstrates a positive association between the ALT/HDL-C ratio and NAFLD. The ALT/HDL-C ratio can effectively identify individuals with NAFLD.Copyright © 2023 Qiu, Kuang, Yang, Yu, He, Sheng and Zou."
"719",37756315,"Genetic variation in environmental enteropathy and stunting in Zambian children: A pilot genome wide association study using the H3Africa chip.","PLoS One","Stunting is known to be heavily influenced by environmental factors, so the genetic contribution has received little attention. Here we report an exploration of genetic influences in stunted Zambian children with environmental enteropathy.Children with stunting (LAZ < -2) were enrolled and given nutritional therapy. Those that were non-responsive to therapy were designated as cases, and children with good growth (LAZ > -1) from the same community as controls. Blood and stool samples were taken to measure biomarkers of intestinal inflammation, epithelial damage, and microbial translocation. Single nucleotide polymorphism array genotyping was carried out on saliva samples using the H3Africa consortium array.Genome wide associations were analysed in 117 cases and 41 controls. While no significant associations with stunting were observed at P<5x10-8, likely due to the small sample size, interesting associations were observed at lower thresholds. SNPs associated with stunting were in genomic regions known to modulate neuronal differentiation and fatty acid biosynthesis. SNPs associated with increased microbial translocation were associated with non-integrin membrane ECM interactions, tight junctions, hemostasis, and G-alpha signalling events. SNPs associated with increased inflammation were associated with, ECM interactions, purine metabolism, axon guidance, and cell motility. SNPs negatively associated with inflammation overlapped genes involved in semaphoring interactions. We explored the existing coeliac disease risk HLA genotypes and found present: DQ2.5 (7.5%), DQ8 (3.5%) and DQ2.2 (3.8%); however, no children were positive for coeliac antibodies. We detected HLA-DRB:1301 and HLA-C:1802 with high odds ratios and P<0.05 in stunted children compared to controls.Genetic variations associated with stunting and the enteropathy underlying it, include variants associated with multiple pathways relating to gene expression, glycosylation, nerve signalling, and sensing of the nutritional and microbiological milieu.Copyright: © 2023 Mweetwa et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
